,date,open,high,low,close,volume
11006,2016-12-15,13.0843,13.2774,13.036,13.036,611392
11007,2016-12-16,13.0843,13.3257,13.0071,13.1326,1699877
11008,2016-12-19,13.1809,13.2774,13.036,13.1809,425964
11009,2016-12-20,13.1809,13.3257,13.0191,13.1809,470196
11010,2016-12-21,13.1809,13.1809,12.8912,13.0843,346616
11011,2016-12-22,13.036,13.205,12.8912,13.0843,253973
11012,2016-12-23,13.0843,13.1809,13.0119,13.1326,193698
11013,2016-12-27,13.0843,13.2774,13.0843,13.1809,133586
11014,2016-12-28,13.2292,13.2774,12.9395,12.9878,229639
11015,2016-12-29,12.9878,13.1326,12.7946,12.9395,411662
11016,2016-12-30,12.9395,13.036,12.7946,12.8429,518297
11017,2017-01-03,12.9878,13.0843,12.8429,12.9878,472962
11018,2017-01-04,12.9878,13.2292,12.9395,13.2292,504102
11019,2017-01-05,13.2292,13.2774,12.9878,13.1326,362235
11020,2017-01-06,13.1809,13.2292,12.9878,13.036,315753
11021,2017-01-09,13.0265,13.075,12.8328,12.9781,257053
11022,2017-01-10,12.9781,13.1718,12.9297,13.1234,454921
11023,2017-01-11,13.0265,13.1718,12.9781,13.1718,341183
11024,2017-01-12,13.0265,13.1234,12.8812,13.075,351360
11025,2017-01-13,13.1234,13.2687,13.075,13.1718,283814
11026,2017-01-17,13.075,13.1718,13.0023,13.075,338013
11027,2017-01-18,13.1718,13.1718,12.9297,13.1234,274826
11028,2017-01-19,13.1234,13.196,12.9055,12.9297,231521
11029,2017-01-20,12.8812,13.1234,12.8812,12.9297,392352
11030,2017-01-23,12.9297,12.9781,12.5907,12.6391,657774
11031,2017-01-24,12.6391,12.7844,12.5907,12.6875,1035152
11032,2017-01-25,12.6875,13.0023,12.6875,12.8812,491637
11033,2017-01-26,12.9297,12.9781,12.8086,12.8812,317232
11034,2017-01-27,12.9297,13.0265,12.5907,12.9297,939929
11035,2017-01-30,12.9297,13.0992,12.6391,12.8812,607784
11036,2017-01-31,12.8812,13.1234,12.8328,13.075,394640
11037,2017-02-01,13.1234,13.4139,12.9297,13.1234,597851
11038,2017-02-02,13.3171,13.7045,12.8812,13.1234,1224099
11039,2017-02-03,13.2687,13.995,13.2202,13.8982,1318842
11040,2017-02-06,13.8013,14.0919,13.6561,14.0919,1118408
11041,2017-02-07,14.1887,14.3098,14.0919,14.1887,967406
11042,2017-02-08,14.1403,14.3582,13.8498,14.334,1066744
11043,2017-02-09,14.3824,14.4551,14.2372,14.2856,858105
11044,2017-02-10,14.4309,15.012,14.334,14.9636,1682605
11045,2017-02-13,15.2541,15.8352,15.012,15.7384,2344005
11046,2017-02-14,15.5931,15.6899,15.351,15.351,938611
11047,2017-02-15,15.351,15.4962,15.012,15.4478,1058427
11048,2017-02-16,15.3994,15.4478,15.0362,15.1573,743797
11049,2017-02-17,15.1088,15.2541,14.8909,14.9636,1112000
11050,2017-02-21,15.1088,15.1573,14.8667,15.012,810435
11051,2017-02-22,14.9151,15.012,14.5277,14.5762,1190360
11052,2017-02-23,14.7214,14.7214,14.1887,14.2856,1371276
11053,2017-02-24,14.2856,14.5762,14.0919,14.3824,1018851
11054,2017-02-27,14.4793,14.6246,14.2372,14.334,1040316
11055,2017-02-28,14.334,14.334,13.8256,13.9466,1939700
11056,2017-03-01,14.1403,14.2856,13.9466,14.2372,973510
11057,2017-03-02,14.1403,14.1887,13.995,14.1403,515803
11058,2017-03-03,14.0919,14.1403,13.8498,14.1403,957051
